vpv1,ipv1,pv1_watt,vpv2,ipv2,pv2_watt,pac_total,freq,vac1,iac1,energia_hoy,energia_total,temp_inversor,codigo_error,irradiancia,temp1,temp2,timestamp
146,0.1,31.3,143.7,0.1,17.9,48.5,60.01,215.4,0.4,0.0,183.4,25.9,0,388.4500841641824,22.187,22.25,2024-11-11 06:42:07
145.4,0.2,39.6,139.3,0.1,22.7,61.8,60.01,215.9,0.5,0.0,183.4,26.2,0,233.0700504985083,22.312,22.312,2024-11-11 06:47:09
147.1,0.3,49.8,147.5,0.1,29.9,78.3,59.97,215.8,0.5,0.0,183.4,26.6,0,271.91505891492824,22.437,22.5,2024-11-11 06:52:12
144.6,0.3,58.9,147.5,0.2,36.1,93.2,59.96,215.8,0.5,0.0,183.4,26.9,0,582.6751262462822,22.562,22.562,2024-11-11 06:57:14
150.5,0.4,69.4,150.6,0.2,42.8,110.5,59.98,215.7,0.6,0.0,183.4,27.1,0,466.14010099702233,22.687,22.687,2024-11-11 07:02:16
147.5,0.5,81.6,153.5,0.3,52.0,131.3,60.02,215.3,0.6,0.0,183.4,27.4,0,504.98510941343653,22.812,22.812,2024-11-11 07:07:19
150.6,0.6,95.8,156.1,0.3,60.9,153.7,60.02,215.8,0.7,0.0,183.4,27.7,0,466.14010099702233,22.875,22.875,2024-11-11 07:12:21
154.9,0.7,114.7,157.9,0.4,71.7,183.2,60.02,215.5,0.8,0.0,183.4,27.9,0,349.60507574776244,23.062,23.062,2024-11-11 07:17:23
155.1,0.8,133.8,152,0.5,83.2,212.8,59.98,215.4,1,0.0,183.4,28.1,0,427.29509258060233,23.25,23.25,2024-11-11 07:22:25
153.4,0.9,150.6,156.4,0.5,96.2,241.1,60.01,215.8,1,0.1,183.5,28.3,0,543.8301178298565,23.375,23.437,2024-11-11 07:27:28
155.4,1,163.8,156.4,0.6,106.1,261.2,60,215.3,1.2,0.1,183.5,28.6,0,233.07005049851404,23.625,23.625,2024-11-11 07:32:30
