vpv1,ipv1,pv1_watt,pac_total,freq,vac1,iac1,energia_hoy,energia_total,temp_inversor,Energìa PV1,Energìa PV2,codigo_error,irradiancia,temp1,temp2,timestamp
0,0,0.0,0.0,0,0,0,0.0,678.1,0,0.0,0.0,0,3379.515732228409,22.562,22.562,2025-05-18 05:05:51
125.9,0,0.0,0.0,59.98,213,0,0.0,678.1,23.3,0.0,0.0,0,3729.120807976175,22.562,22.562,2025-05-18 05:06:54
151.2,0,0.0,0.0,59.99,212.7,0,0.0,678.1,23.3,0.0,0.0,0,3340.6707238119902,22.5,22.5,2025-05-18 05:07:56
154.2,0,0.0,0.0,60.02,213,0,0.0,678.1,23.4,0.0,0.0,0,5593.681211964264,22.437,22.437,2025-05-18 05:08:58
156.3,0,0.0,0.0,60.01,212.9,0,0.0,678.1,23.4,0.0,0.0,0,3923.3458500582674,22.437,22.437,2025-05-18 05:10:01
157.4,0,0.0,0.0,60,212.9,0,0.0,678.1,23.4,0.0,0.0,0,5360.611161465752,22.437,22.437,2025-05-18 05:11:03
160.3,0,0.0,0.0,59.99,212.8,0,0.0,678.1,23.4,0.0,0.0,0,4311.795934222452,22.437,22.437,2025-05-18 05:12:05
157.9,0,0.0,0.0,60.04,212.5,0,0.0,678.1,23.4,0.0,0.0,0,5438.30117829859,22.437,22.437,2025-05-18 05:13:08
157.7,0,0.0,0.0,60.03,213,0,0.0,678.1,23.5,0.0,0.0,0,4078.7258837239424,22.437,22.437,2025-05-18 05:14:10
158.1,0,0.0,0.0,59.97,212.7,0,0.0,678.1,23.5,0.0,0.0,0,3962.1908584746866,22.437,22.437,2025-05-18 05:15:12
159.3,0,0.0,0.0,59.98,212.8,0,0.0,678.1,23.5,0.0,0.0,0,2991.065648064224,22.5,22.5,2025-05-18 05:16:15
139.1,0,7.5,11.5,60.02,212.9,0.4,0.0,678.1,23.5,0.0,0.0,0,504.9851094134401,22.5,22.5,2025-05-18 05:17:17
131.1,0,8.6,12.7,59.94,212.9,0.4,0.0,678.1,23.7,0.0,0.0,0,3962.1908584746866,22.562,22.562,2025-05-18 05:18:19
116.1,0,10.7,15.6,59.96,212.5,0.4,0.0,678.1,23.9,0.0,0.0,0,466.14010099702233,22.562,22.562,2025-05-18 05:19:22
128,0,9.6,13.5,60.01,212.8,0.4,0.0,678.1,24.1,0.0,0.0,0,4816.781043635894,22.562,22.562,2025-05-18 05:20:24
147.9,0,16.6,25.4,60,212.6,0.5,0.0,678.1,24.2,0.0,0.0,0,3301.8257153955724,22.562,22.625,2025-05-18 05:21:26
135.1,0,16.9,27.7,60.01,212.7,0.4,0.0,678.1,24.3,0.0,0.0,0,-38.84500841641853,22.625,22.625,2025-05-18 05:22:29
141.3,0,18.5,30.3,60.02,212.9,0.5,0.0,678.1,24.5,0.0,0.0,0,3534.895765894083,22.625,22.625,2025-05-18 05:23:31
135.3,0,20.2,33.7,60.04,212.8,0.4,0.0,678.1,24.6,0.0,0.0,0,3224.135698562735,22.562,22.562,2025-05-18 05:24:33
163.3,0,4.7,10.6,60.01,212.8,0.3,0.0,678.1,24.6,0.0,0.0,0,4816.781043635894,22.562,22.562,2025-05-18 05:25:36
135.9,0,23.4,40.9,60.02,213.1,0.5,0.0,678.1,24.8,0.0,0.0,0,-233.07005049851116,22.562,22.562,2025-05-18 05:26:38
147.7,0.1,27.7,47.2,60.01,212.9,0.4,0.0,678.1,24.9,0.0,0.0,0,3729.1208079761755,22.562,22.562,2025-05-18 05:27:40
141.2,0.1,28.9,52.9,59.96,212.9,0.4,0.0,678.1,25,0.0,0.0,0,116.53502524925558,22.562,22.562,2025-05-18 05:28:43
147,0.1,31.0,57.0,59.97,212.9,0.4,0.0,678.1,25.1,0.0,0.0,0,1670.3353619059944,22.625,22.625,2025-05-18 05:29:45
148.8,0.1,33.1,59.8,59.96,212.9,0.5,0.0,678.1,25.2,0.0,0.0,0,776.9001683283698,22.625,22.625,2025-05-18 05:30:47
146.3,0.1,33.9,61.1,59.98,213.1,0.4,0.0,678.1,25.3,0.0,0.0,0,1126.5052440761365,22.625,22.687,2025-05-18 05:31:50
148.7,0.1,38.6,65.7,60,213.1,0.5,0.0,678.1,25.5,0.0,0.0,0,2486.0805386507836,22.687,22.687,2025-05-18 05:32:52
151.7,0.1,40.4,71.9,59.98,212.7,0.5,0.0,678.1,25.6,0.0,0.0,0,4739.091026803057,22.687,22.75,2025-05-18 05:33:54
151.6,0.1,43.8,79.8,60.03,213.1,0.5,0.0,678.1,25.7,0.0,0.0,0,1398.4203029910655,22.75,22.75,2025-05-18 05:34:57
142.7,0.2,45.5,84.4,60.04,213.1,0.6,0.0,678.1,25.8,0.0,0.0,0,4700.246018386638,22.75,22.812,2025-05-18 05:35:59
151.7,0.2,50.7,95.0,60.01,212.9,0.6,0.0,678.1,25.9,0.0,0.0,0,1670.3353619059951,22.75,22.812,2025-05-18 05:37:01
157.6,0.2,51.1,101.6,59.97,212.9,0.5,0.0,678.1,26,0.0,0.0,0,194.22504208209264,22.812,22.812,2025-05-18 05:38:04
154.7,0.2,56.1,108.4,59.97,212.9,0.6,0.0,678.1,26.1,0.0,0.0,0,2369.545513401528,22.875,22.875,2025-05-18 05:39:06
154.7,0.2,56.6,112.0,59.98,213,0.6,0.0,678.1,26.1,0.0,0.0,0,1243.040269325392,22.875,22.875,2025-05-18 05:40:08
154.6,0.2,58.7,117.7,60.01,212.8,0.7,0.0,678.1,26.2,0.0,0.0,0,1243.040269325392,22.937,22.875,2025-05-18 05:41:11
145.8,0.3,58.5,119.5,60.02,212.9,0.6,0.0,678.1,26.3,0.0,0.0,0,4583.710993137383,22.937,22.937,2025-05-18 05:42:13
156.1,0.3,61.5,120.7,60,213.1,0.6,0.0,678.1,26.5,0.0,0.0,0,4078.7258837239424,22.937,22.937,2025-05-18 05:43:15
