Voltaje PV1 [V],Corriente PV1 [A],Potencia PV1 [W],Voltaje PV2 [V],Corriente PV2[A],Potencia PV2 [W],Potencia total [Wac],Frecuencia,Voltaje [Vac],Corriente [Aac],Energia hoy [Wh],Energia total [Wh],Temperatura inversor [°C],Energìa PV1 [Wh],Energìa PV2 [Wh],codigo_error,irradiancia_incidente,irradiancia_reflejada,albedo,temp_vertical,temp_inclinado,timestamp
,,0.0,0,0,0.0,0.0,0,,,0.0,1386.9,,0.0,0.0,0,-38.845008416418494,-37.90271636133923,0,21.312,21.375,2025-10-29 05:24:23
0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,1386.9,0,0.0,0.0,0,-38.845008416418494,-37.90271636133923,0,21.437,21.437,2025-10-29 05:24:33
,,0.0,0,0,0.0,0.0,0,0,0,0.0,1386.9,0,0.0,0.0,0,-38.845008416418494,-37.90271636133923,0,21.375,21.437,2025-10-29 05:25:05
,,0.0,0,0,0.0,0.0,0,0,0,0.0,1386.9,0,0.0,0.0,0,-38.845008416418494,-37.90271636133923,0,21.437,21.437,2025-10-29 05:25:20
,,0.0,0,0,0.0,0.0,0,0,0,0.0,1386.9,0,0.0,0.0,0,0.0,-37.90271636133923,0,21.375,21.375,2025-10-29 05:25:35
0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,1386.9,0,0.0,0.0,0,-38.845008416418494,0.0,0,21.375,21.375,2025-10-29 05:26:03
,,0.0,0,0,0.0,0.0,0,0,0,0.0,1386.9,0,0.0,0.0,0,-38.845008416418494,0.0,0,21.375,21.437,2025-10-29 05:26:20
0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,1386.9,0,0.0,0.0,0,-38.845008416418494,-37.90271636133923,0,21.437,21.437,2025-10-29 05:26:33
0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,1386.9,0,0.0,0.0,0,-38.845008416418494,-37.90271636133923,0,21.437,21.437,2025-10-29 05:26:48
0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,1386.9,0,0.0,0.0,0,-38.845008416418494,-37.90271636133923,0,21.437,21.5,2025-10-29 05:27:03
0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,1386.9,0,0.0,0.0,0,-38.845008416418494,-37.90271636133923,0,21.437,21.5,2025-10-29 05:27:18
,0,0.0,0,0,0.0,0.0,0,0,0,0.0,1386.9,0,0.0,0.0,0,-38.845008416418494,-37.90271636133923,0,21.437,21.5,2025-10-29 05:27:34
0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,1386.9,0,0.0,0.0,0,-38.845008416418494,-37.90271636133923,0,21.437,21.5,2025-10-29 05:27:48
0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,1386.9,0,0.0,0.0,0,-38.845008416418494,-37.90271636133923,0,21.437,21.5,2025-10-29 05:28:03
,0,0.0,0,0,0.0,0.0,0,0,0,0.0,1386.9,0,0.0,0.0,0,0.0,-37.90271636133923,0,21.437,21.5,2025-10-29 05:28:19
0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,1386.9,0,0.0,0.0,0,0.0,-37.90271636133923,0,21.437,21.5,2025-10-29 05:28:33
131.7,0,0.0,131.5,0,0.0,0.0,59.97,211.2,0,0.0,1386.9,22.3,0.0,0.0,0,-38.845008416418494,-37.90271636133923,0,21.375,21.5,2025-10-29 05:28:48
148.5,0,0.0,148.4,0,0.0,0.0,60.01,211.3,0,0.0,1386.9,22.3,0.0,0.0,0,-38.845008416418494,-37.90271636133923,0,21.375,21.5,2025-10-29 05:29:03
148.7,0,0.0,148.6,0,0.0,0.0,59.98,211,0,0.0,1386.9,22.3,0.0,0.0,0,0.0,-37.90271636133923,0,21.437,21.5,2025-10-29 05:29:18
149.2,0,0.0,149.1,0,0.0,0.0,60.01,211.2,0,0.0,1386.9,22.3,0.0,0.0,0,-38.845008416418494,-37.90271636133923,0,21.375,21.5,2025-10-29 05:29:33
148.8,0,0.0,148.6,0,0.0,0.0,59.97,211.2,0,0.0,1386.9,22.4,0.0,0.0,0,-38.845008416418494,-37.90271636133923,0,21.437,21.437,2025-10-29 05:29:48
148.6,0,0.0,148.5,0,0.0,0.0,60,211,0,0.0,1386.9,22.4,0.0,0.0,0,-38.845008416418494,-37.90271636133923,0,21.437,21.5,2025-10-29 05:30:03
151,0,0.0,150.8,0,0.0,0.0,59.98,211.1,0,0.0,1386.9,22.4,0.0,0.0,0,-38.845008416418494,-37.90271636133923,0,21.437,21.5,2025-10-29 05:30:18
151.4,0,0.0,151.2,0,0.0,0.0,59.99,211.1,0,0.0,1386.9,22.4,0.0,0.0,0,-38.845008416418494,-37.90271636133923,0,21.375,21.437,2025-10-29 05:30:33
151.8,0,0.0,151.6,0,0.0,0.0,59.99,211.2,0,0.0,1386.9,22.4,0.0,0.0,0,-38.845008416418494,0.0,0,21.437,21.5,2025-10-29 05:30:48
152.1,0,0.0,151.9,0,0.0,0.0,60.01,211.1,0,0.0,1386.9,22.4,0.0,0.0,0,0.0,-37.90271636133923,0,21.437,21.437,2025-10-29 05:31:03
