voltaje_pv1_v,voltaje_pv2_v,corriente_pv1_a,corriente_pv2_a,potencia_pv1_w,potencia_pv2_w,energia_hoy_wh,voltaje_vac,corriente_aac,temp_vertical,temp_inclinado,irradiancia_incidente,irradiancia_reflejada,albedo,timestamp,corriente_pv2_a_1,potencia_total_va,energia_pv1_wh,energia_pv2_wh
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.562,85.0,-38.845008416418494,-37.90271636133923,0.0,2026-02-26 05:55:15,,,,
108.54137931034481,108.51034482758618,0.0,0.0,0.0,0.0,0.0,164.7218390804596,0.0,20.674172413793066,85.0,-16.943035585884672,-34.676953266757096,0.0,2026-02-26 06:00:32,,,,
147.3267716535435,146.35511811023616,0.0,0.0,0.0,0.0,0.0,213.78503937007906,0.0,20.693944881889713,85.0,-2.3365418596341954,-33.34299108478707,0.0,2026-02-26 06:05:47,,,,
156.2507692307692,155.9476923076924,0.0,0.0,0.0,0.0,0.0,213.7692307692309,0.0,20.77669230769229,85.0,0.0,-33.767874576465815,0.0,2026-02-26 06:11:10,,,,
155.70499999999998,155.10000000000002,0.0,0.0,0.0,0.0,0.0,213.8,0.0,20.859150000000003,85.0,0.0,-25.842761155458565,0.0,2026-02-26 06:16:40,,,,
159.39000000000001,155.18,0.0,0.0,7.49,4.455,0.0,213.865,0.145,20.993500000000004,85.0,0.0,-10.829347531811209,0.0,2026-02-26 06:21:55,,,,
147.7952380952381,135.6952380952381,0.004761904761904762,0.0,23.18571428571429,13.561904761904765,0.0,213.9523809523809,0.4428571428571429,21.157476190476196,85.0,0.0,-18.04891255301868,0.0,2026-02-26 06:27:10,,,,
146.725,138.04500000000002,0.015000000000000003,0.01,24.659999999999997,14.279999999999998,0.0,214.17999999999998,0.4250000000000001,21.274850000000004,85.0,0.0,-12.634238787113077,0.0,2026-02-26 06:32:25,,,,
150.86666666666665,143.02380952380952,0.10000000000000002,0.06190476190476191,33.93333333333334,23.152380952380955,0.0,214.10476190476186,0.4571428571428572,21.398571428571433,85.0,0.0,-12.059955205880664,0.0,2026-02-26 06:37:55,,,,
152.51428571428573,143.10000000000002,0.10000000000000002,0.0,32.34761904761905,20.52857142857143,0.0,213.77142857142852,0.4476190476190477,21.419333333333338,85.0,0.0,-7.2195650212074725,0.0,2026-02-26 06:43:10,,,,
147.22,141.16500000000002,0.10000000000000002,0.065,32.660000000000004,23.305,0.0,213.62999999999997,0.48,21.455850000000005,85.0,12.948336138806164,-1.8048912553018681,0.0,2026-02-26 06:48:25,,,,
103.45,145.525,0.23000000000000012,0.10000000000000002,38.105000000000004,31.305,0.0,213.55,0.48500000000000004,21.634000000000007,85.0,8.828411003731476,0.0,0.0,2026-02-26 06:53:55,,,,
133.53333333333333,147.55238095238093,0.20476190476190478,0.15714285714285717,47.21904761904762,36.38095238095238,0.0,213.52380952380952,0.4809523809523809,21.77066666666667,85.0,36.995246110874774,0.0,0.0,2026-02-26 06:59:10,,,,
158.30500000000004,149.205,0.41999999999999993,0.295,85.24500000000002,59.585,0.0,213.83,0.6850000000000002,21.987250000000007,85.0,51.793344555224685,0.0,0.0,2026-02-26 07:04:25,,,,
163.085,156.22500000000002,0.6199999999999999,0.4000000000000001,118.25999999999999,80.83500000000001,0.0,213.92500000000004,0.8950000000000001,22.346650000000004,85.0,67.09592362835924,0.0,0.0,2026-02-26 07:09:55,,,,
163.55714285714288,153.8142857142857,0.861904761904762,0.6380952380952382,154.7857142857143,107.99047619047616,0.0,213.82857142857137,1.1761904761904762,22.657476190476196,85.0,101.73692680490561,0.0,0.0,2026-02-26 07:15:10,,,,
164.08,147.415,0.9149999999999998,0.7099999999999997,162.755,116.00500000000002,0.034999999999999996,213.61000000000004,1.2400000000000004,23.368450000000003,85.0,88.2841100373148,0.0,0.0,2026-02-26 07:20:40,,,,
162.94000000000003,147.01999999999998,0.9499999999999998,0.7199999999999999,166.69,114.755,0.10000000000000002,213.77500000000003,1.2499999999999998,23.905950000000004,85.0,90.63835297164319,0.0,0.0,2026-02-26 07:25:55,,,,
160.44761904761907,151.45714285714283,0.7238095238095239,0.6142857142857143,132.3952380952381,108.73333333333333,0.10000000000000002,213.7761904761905,1.0523809523809522,24.21990476190477,85.0,68.44120530511833,0.0,0.0,2026-02-26 07:31:10,,,,
158.32999999999998,144.66500000000002,0.8800000000000001,0.705,153.185,110.53500000000001,0.10000000000000002,213.37000000000003,1.1750000000000003,24.168550000000003,85.0,86.93882836055572,0.0,0.0,2026-02-26 07:36:25,,,,
163.0,146.45999999999998,0.9199999999999999,0.6699999999999997,162.68499999999997,108.50500000000002,0.10000000000000002,213.32,1.18,24.493550000000003,85.0,49.43910162089628,0.0,0.0,2026-02-26 07:41:55,,,,
161.7857142857143,152.05714285714288,0.6095238095238094,0.49523809523809526,114.93333333333335,88.47619047619048,0.17619047619047623,213.43333333333334,0.9142857142857143,24.69909523809524,85.0,88.78859066609945,0.0,0.0,2026-02-26 07:47:10,,,,
162.97142857142853,156.8047619047619,0.9238095238095237,0.7714285714285716,162.0904761904762,131.78095238095239,0.20000000000000004,213.57619047619045,1.3190476190476192,24.618809523809528,85.0,163.695,158.56,1.0449999999999997,2026-02-26 07:52:25,,,,
