vpv1,ipv1,pv1_watt,pac_total,freq,vac1,iac1,energia_hoy,energia_total,temp_inversor,Energìa PV1,Energìa PV2,codigo_error,irradiancia,temp1,temp2,timestamp
,0,0.0,0.0,0,0,0,0.0,614.5,0,0.0,0.0,0,-582.6751262462772,,,2025-05-09 05:12:00
0,0,0.0,0.0,0,0,0,0.0,614.5,0,0.0,0.0,0,-8740.126893694161,,,2025-05-09 05:13:01
0,0,0.0,0.0,0,0,0,0.0,614.5,0,0.0,0.0,0,6020.976304544867,,,2025-05-09 05:13:28
144.5,0,0.0,0.0,60.02,211.8,0,0.0,614.5,22.9,0.0,0.0,0,-776.9001683283698,,,2025-05-09 05:14:02
147.5,0,0.0,0.0,60.02,211.9,0,0.0,614.5,22.9,0.0,0.0,0,2097.6304544865984,,,2025-05-09 05:14:29
148.6,0,0.0,0.0,60.04,212,0,0.0,614.5,22.9,0.0,0.0,0,-1048.8152272432988,,,2025-05-09 05:15:02
148.9,0,0.0,0.0,60.02,211.8,0,0.0,614.5,23,0.0,0.0,0,2991.0656480642238,,,2025-05-09 05:15:30
148.8,0,0.0,0.0,60.01,211.6,0,0.0,614.5,23,0.0,0.0,0,7341.706590703096,,,2025-05-09 05:16:03
149,0,0.0,0.0,60.02,211.5,0,0.0,614.5,23,0.0,0.0,0,5943.286287712031,,,2025-05-09 05:16:30
149.3,0,0.0,0.0,59.99,211.5,0,0.0,614.5,23,0.0,0.0,0,-854.5901851612068,,,2025-05-09 05:17:04
148.6,0,0.0,0.0,59.99,211.6,0,0.0,614.5,23,0.0,0.0,0,7108.636540204585,,,2025-05-09 05:17:31
148.8,0,0.0,0.0,60.01,211.5,0,0.0,614.5,23,0.0,0.0,0,-1281.8852777418106,,,2025-05-09 05:18:04
150.4,0,0.0,0.0,60.02,211.6,0,0.0,614.5,23.1,0.0,0.0,0,-1553.8003366567402,,,2025-05-09 05:18:32
99.7,0,0.0,0.0,60.01,211.7,0,0.0,614.5,23.1,0.0,0.0,0,1398.4203029910655,,,2025-05-09 05:19:05
62.3,0,0.0,0.0,60.01,72,0,0.0,614.5,0,0.0,0.0,0,1243.0402693253914,,,2025-05-09 05:19:32
152.8,0,0.0,0.0,60.02,211.9,0,0.0,614.5,23.1,0.0,0.0,0,2719.150589149295,,,2025-05-09 05:20:06
153.5,0,0.0,0.0,59.99,211.7,0,0.0,614.5,23.1,0.0,0.0,0,5011.006085717986,,,2025-05-09 05:20:33
154.6,0,0.0,0.0,60.04,211.8,0,0.0,614.5,23.1,0.0,0.0,0,-1243.0402693253914,,,2025-05-09 05:21:06
155.3,0,0.0,0.0,60.02,211.8,0,0.0,614.5,23.1,0.0,0.0,0,-1048.8152272432994,,,2025-05-09 05:21:34
