timestamp,Voltaje PV1 [V],Corriente PV1 [A],Potencia PV1 [W],Voltaje PV2 [V],Corriente PV2 [A],Potencia PV2 [W],Potencia total [Wac],Frecuencia,Voltaje [Vac],Corriente [Aac],Energia hoy [Wh],Energia total [Wh],Temperatura inversor [C],Energia PV1 [Wh],Energia PV2 [Wh],codigo_error,temp_vertical,temp_inclinado,irradiancia_incidente,irradiancia_reflejada,albedo
2026-03-18 05:05:03,,,,,,,,,,,,,,,,,19.499909090909092,19.019681818181823,-38.845008416418516,-34.45701487394476,0.0
2026-03-18 05:10:03,,,,,,,,,,,,,,,,,19.60285,19.143600000000003,-38.84500841641851,-34.11244472520531,0.0
2026-03-18 05:15:03,,,,,,,,,,,,,,,,,19.70275,19.243650000000002,-36.90275799559758,-36.00758054327227,0.0
2026-03-18 05:20:03,,,,,,,,,,,,,,,,,19.749950000000002,19.2562,-38.84500841641851,-34.11244472520531,0.0
2026-03-18 05:25:03,,,,,,,,,,,,,,,,,19.765500000000003,19.2437,-36.90275799559758,-34.11244472520531,0.0
2026-03-18 05:30:03,,,,,,,,,,,,,,,,,19.80580000000001,19.271700000000003,-38.84500841641851,-37.90271636133923,0.0
2026-03-18 05:35:03,,,,,,,,,,,,,,,,,19.865550000000002,19.35295,-34.960507574776656,-37.90271636133923,0.0
2026-03-18 05:40:03,,,,,,,,,,,,,,,,,19.884300000000003,19.3812,-36.90275799559758,-34.11244472520531,0.0
2026-03-18 05:45:03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2230.2,0.0,0.0,0.0,0.0,19.875,19.343500000000006,-31.076006733134808,-32.217308907138346,0.0
2026-03-18 05:50:03,130.23888888888888,0.0,0.0,130.08333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2230.2,17.95,0.0,0.0,285.22222222222223,19.8812,19.284100000000002,-9.711252104104624,-34.11244472520531,0.0
2026-03-18 05:55:03,156.70000000000002,0.0,0.0,156.48999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2230.2,20.329999999999995,0.0,0.0,302.0,19.946450000000006,19.349700000000002,0.0,-36.00758054327227,0.0
2026-03-18 06:00:03,160.96499999999997,0.0,0.0,160.65000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2230.2,20.485000000000003,0.0,0.0,302.0,20.059200000000004,19.521600000000003,0.0,-30.322173089071384,0.0
2026-03-18 06:05:03,164.57500000000002,0.0,0.0,163.295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2230.2,20.684999999999995,0.0,0.0,302.0,20.209200000000003,19.74035,0.0,-30.322173089071384,0.0
2026-03-18 06:10:03,167.42999999999998,0.0,0.0,166.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2230.2,20.849999999999994,0.0,0.0,302.0,20.421650000000003,19.912250000000004,0.0,-22.74162981680354,0.0
