vpv1,ipv1,pv1_watt,vpv2,ipv2,pv2_watt,pac_total,freq,vac1,iac1,energia_hoy,energia_total,temp_inversor,Energìa PV1,Energìa PV2,codigo_error,irradiancia,temp1,temp2,timestamp
,0,0.0,0,0,0.0,0.0,,,,0.0,721.2,0,0.0,0.0,0,4350.640942638871,23.5,23.5,2025-05-24 05:25:55
0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,721.2,0,0.0,0.0,0,7419.396607535933,23.5,23.5,2025-05-24 05:28:00
,,0.0,0,0,0.0,0.0,0,0,0,0.0,721.2,0,0.0,0.0,0,5049.851094134404,23.5,23.5,2025-05-24 05:29:05
145.5,0,0.0,145.3,0,0.0,0.0,60.02,212.3,0,0.0,721.2,23.7,0.0,0.0,0,7380.551599119514,23.5,23.5,2025-05-24 05:30:07
147.2,0,0.0,147,0,0.0,0.0,59.99,211.9,0,0.0,721.2,23.7,0.0,0.0,0,2874.530622814968,23.5,23.562,2025-05-24 05:31:10
148.6,0,0.0,148.5,0,0.0,0.0,59.96,211.9,0,0.0,721.2,23.7,0.0,0.0,0,6370.581380292633,23.562,23.562,2025-05-24 05:32:12
148.8,0,0.0,148.7,0,0.0,0.0,60.04,211.9,0,0.0,721.2,23.7,0.0,0.0,0,5710.216237213519,23.5,23.5,2025-05-24 05:33:14
151.2,0,0.0,151,0,0.0,0.0,59.98,211.8,0,0.0,721.2,23.8,0.0,0.0,0,4739.091026803056,23.5,23.5,2025-05-24 05:34:17
99.7,0,0.0,82,0,0.0,0.0,59.98,211.6,0,0.0,721.2,23.8,0.0,0.0,0,7302.861582286677,23.5,23.5,2025-05-24 05:35:19
153.4,0,0.0,153.4,0,0.0,0.0,60.01,211.7,0,0.0,721.2,23.8,0.0,0.0,0,2835.68561439855,23.5,23.5,2025-05-24 05:36:22
154.4,0,0.0,154.3,0,0.0,0.0,60.01,211.8,0,0.0,721.2,23.9,0.0,0.0,0,7186.3265570374215,23.5,23.5,2025-05-24 05:37:24
155.3,0,0.0,155.1,0,0.0,0.0,59.99,211.7,0,0.0,721.2,23.9,0.0,0.0,0,6720.186456040399,23.5,23.5,2025-05-24 05:38:27
156,0,0.0,155.8,0,0.0,0.0,60.04,212,0,0.0,721.2,23.9,0.0,0.0,0,6797.876472873237,23.5,23.5,2025-05-24 05:39:29
160,0,0.0,156.8,0,0.0,0.0,59.99,211.9,0,0.0,721.2,23.9,0.0,0.0,0,3806.8108248090125,23.5,23.5,2025-05-24 05:40:32
