vpv1,ipv1,pv1_watt,vpv2,ipv2,pv2_watt,pac_total,freq,vac1,iac1,energia_hoy,energia_total,temp_inversor,codigo_error,irradiancia,temp1,temp2,timestamp
153,2.6,396.7,156.1,1.6,243.5,615.3,60.06,216.1,2.8,4.4,182.3,34.1,0,310.76006733134824,26.437,26.437,2024-11-10 13:12:48
152.9,2.6,401.1,153.2,1.6,248.3,623.4,60.01,216.3,2.8,4.4,182.3,34.1,0,582.6751262462765,26.437,26.437,2024-11-10 13:17:50
152.8,2.6,416.6,156.5,1.6,256.8,646.2,60.03,215.8,3,4.5,182.4,34,0,388.4500841641881,26.812,26.812,2024-11-10 13:22:53
154.4,2.9,448.5,152.1,1.9,293.9,707.6,59.98,216.2,3.2,4.5,182.4,33.9,0,621.5201346626965,27.125,27.125,2024-11-10 13:27:55
154.3,3.2,488.1,156.2,2.1,318.4,769.8,60.04,216.3,3.6,4.6,182.5,34.1,0,349.60507574776244,27.75,27.75,2024-11-10 13:32:57
148.2,3.3,488.9,154.7,2.2,339.8,789.8,60.04,216.4,3.7,4.6,182.5,34.2,0,621.5201346626965,28.312,28.312,2024-11-10 13:37:59
155.6,4,607.2,154.6,3.1,475.6,1031.2,60.03,216.7,4.7,4.7,182.6,34.8,0,815.7451767447848,29.375,29.375,2024-11-10 13:43:02
150.4,3.8,588.3,156,2.7,421.0,958.2,60.01,216.7,4.3,4.8,182.7,35.3,0,466.14010099702233,30.25,30.25,2024-11-10 13:48:04
149.4,3.1,463.9,154.1,1.8,289.4,717.4,59.97,216.5,3.3,4.9,182.8,35.4,0,815.7451767447905,30.062,30.062,2024-11-10 13:53:06
149.9,2.3,353.7,151.7,1.5,229.2,559.5,60,216.1,2.5,4.9,182.8,35,0,504.9851094134423,29.875,29.875,2024-11-10 13:58:08
152.9,1.9,292.0,151.7,1.3,204.6,481.0,60.02,216.5,2.1,5.0,182.9,34.8,0,660.3651430791164,29.562,29.562,2024-11-10 14:03:11
149.4,1.7,251.9,153.2,1.1,167.3,411.0,60.02,216,1.8,5.0,182.9,34.5,0,388.4500841641881,29.0,29.0,2024-11-10 14:08:13
