vpv1,ipv1,pv1_watt,vpv2,ipv2,pv2_watt,pac_total,freq,vac1,iac1,energia_hoy,energia_total,temp_inversor,Energìa PV1,Energìa PV2,codigo_error,irradiancia_incidente,temp1,temp2,timestamp
0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,1212.6,0,0.0,0.0,0,-38.845008416418494,,,2025-09-26 05:28:05
0,0,0.0,0,0,0.0,0.0,59.97,0,0,0.0,1212.6,0,0.0,0.0,0,-38.845008416418494,,,2025-09-26 05:29:06
149.8,0,0.0,149.6,0,0.0,0.0,60,213.2,0,0.0,1212.6,22.4,0.0,0.0,0,0.0,,,2025-09-26 05:30:07
152.3,0,0.0,152.1,0,0.0,0.0,59.99,213,0,0.0,1212.6,22.5,0.0,0.0,0,-38.845008416418494,,,2025-09-26 05:31:08
154.3,0,0.0,154.3,0,0.0,0.0,60,212.7,0,0.0,1212.6,22.5,0.0,0.0,0,-38.845008416418494,,,2025-09-26 05:32:09
156.5,0,0.0,156.2,0,0.0,0.0,60,212.7,0,0.0,1212.6,22.5,0.0,0.0,0,0.0,,,2025-09-26 05:33:11
99.5,0,0.0,96.8,0,0.0,0.0,60.04,212.1,0,0.0,1212.6,22.6,0.0,0.0,0,0.0,,,2025-09-26 05:34:12
159.6,0,0.0,159.4,0,0.0,0.0,60.04,212.1,0,0.0,1212.6,22.6,0.0,0.0,0,0.0,,,2025-09-26 05:35:13
160.8,0,0.0,160.6,0,0.0,0.0,60.03,212.3,0,0.0,1212.6,22.6,0.0,0.0,0,0.0,,,2025-09-26 05:36:14
162.1,0,0.0,161.5,0,0.0,0.0,60,212.4,0,0.0,1212.6,22.7,0.0,0.0,0,0.0,,,2025-09-26 05:37:15
163.4,0,0.0,162.4,0,0.0,0.0,60,212.9,0,0.0,1212.6,22.7,0.0,0.0,0,0.0,,,2025-09-26 05:38:16
164.9,0,0.0,162.1,0,0.0,0.0,59.99,212.4,0,0.0,1212.6,22.7,0.0,0.0,0,0.0,,,2025-09-26 05:39:18
129.4,0,20.5,138.9,0,12.7,32.9,60.02,212.7,0.4,0.0,1212.6,22.9,0.0,0.0,0,0.0,,,2025-09-26 05:40:19
136.9,0,20.6,126.1,0,13.8,33.9,60.01,213.1,0.4,0.0,1212.6,23.1,0.0,0.0,0,0.0,,0.0,2025-09-26 05:41:20
