voltaje_pv1_v,voltaje_pv2_v,corriente_pv1_a,corriente_pv2_a,potencia_pv1_w,potencia_pv2_w,energia_hoy_wh,voltaje_vac,corriente_aac,temp_vertical,temp_inclinado,timestamp,corriente_pv2_a_1,potencia_total_va,energia_pv1_wh,energia_pv2_wh,irradiancia_incidente,irradiancia_reflejada,albedo
175.13999999999993,172.575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.8185,85.0,2025-12-11 08:22:09,,,,,234.8357326992573,25.842761155458565,0.10633901053673635
175.365,172.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.131,85.0,2025-12-11 08:27:24,,,,,199.77432899872366,30.683151340131758,0.15333092681165958
179.76666666666668,176.31428571428575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.404523809523816,85.0,2025-12-11 08:32:39,,,,,305.21078041471674,45.1222813825467,0.14679211941417517
182.74285714285716,177.3857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.094904761904765,85.0,2025-12-11 08:37:54,,,,,516.0836832467028,86.63478025448967,0.15753647363886406
182.55714285714282,177.6047619047619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.1842380952381,85.0,2025-12-11 08:43:24,,,,,478.4998764022459,75.80543272267845,0.15032314288743864
177.475,174.815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.7622,85.0,2025-12-11 08:48:39,,,,,403.2481826085349,66.78097644616912,0.16226355728166558
177.63809523809525,176.00952380952384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.29733333333334,85.0,2025-12-11 08:54:09,,,,,446.71759678881267,72.359731235284,0.15437977200176503
177.72,176.23999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.277950000000004,85.0,2025-12-11 08:59:39,,,,,547.3614822313515,96.47964164704534,0.1737219927435233
173.05238095238096,173.84761904761905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.53847619047619,85.0,2025-12-11 09:05:09,,,,,335.4796181417961,48.239820823522656,0.13012333739118326
176.08499999999998,175.36499999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.177900000000005,85.0,2025-12-11 09:10:24,,,,,614.1210854405208,113.70814908401773,0.1856848456375601
175.99999999999994,175.5666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.02942857142858,85.0,2025-12-11 09:15:54,,,,,565.0183042388146,103.37104462183429,0.17956368007299783
173.72380952380956,174.80476190476188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.916428571428572,85.0,2025-12-11 09:21:24,,,,,609.1603592574716,101.64819387813708,0.1668933352268234
173.9380952380952,175.9666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.79438095238096,85.0,2025-12-11 09:26:54,,,,,565.0183042388145,99.92534313443979,0.17822669421979945
