vpv1,ipv1,pv1_watt,vpv2,ipv2,pv2_watt,pac_total,freq,vac1,iac1,energia_hoy,energia_total,temp_inversor,codigo_error,irradiancia,temp1,temp2,timestamp
153.5,1.5,237.3,156.1,0.8,131.8,351.5,60.02,215.8,1.6,0.3,200.5,32,0,6836.721481289655,26.312,26.312,2024-11-21 08:01:06
154.1,2.5,390.4,159,1.2,206.1,562.0,60,215.1,2.5,0.3,200.5,32.4,0,776.9001683283706,26.75,26.75,2024-11-21 08:06:08
155.8,2.6,408.3,159.9,1.2,195.2,566.6,60.04,216.3,2.6,0.4,200.6,33.1,0,2680.305580732877,27.312,27.312,2024-11-21 08:11:11
150.5,4.4,712.8,150.1,1.5,241.0,888.1,60.02,216.3,3.9,0.4,200.6,33.9,0,1243.04026932539,27.5,27.5,2024-11-21 08:16:13
149.2,8.8,1274.2,154.4,2.6,409.7,1566.3,59.99,216.5,7.2,0.6,200.8,35.8,0,4972.1610773015655,29.062,29.062,2024-11-21 08:21:15
145,3.6,494.3,152.6,2.1,294.4,734.0,60.02,216.1,3.7,0.7,200.9,36.5,0,1553.8003366567382,31.187,31.187,2024-11-21 08:26:17
148.4,4.1,598.8,158.5,2.2,353.6,890.3,60.04,215.9,4.1,0.8,201.0,37.4,0,6525.961413958306,32.562,32.625,2024-11-21 08:31:20
152.6,7.4,1161.6,161.7,2.6,423.9,1470.8,60.02,216.3,6.8,0.8,201.0,37.8,0,699.2101514955335,32.937,32.937,2024-11-21 08:36:22
146.9,2.7,405.4,152.8,1.7,273.6,633.6,60.01,216.1,2.9,0.9,201.1,37.6,0,2835.6856143985483,32.062,32.062,2024-11-21 08:41:24
149.9,3.8,569.8,155.2,2.1,332.0,843.9,59.97,216.2,3.9,1.0,201.2,37.4,0,6953.256506538909,32.0,32.0,2024-11-21 08:46:27
152.8,4.7,683.7,160.2,1.9,300.9,920.8,59.98,216.8,4.3,1.1,201.3,38.8,0,1243.04026932539,32.062,32.062,2024-11-21 08:51:29
145.4,9.1,1302.5,161.5,2.4,397.0,1582.3,60.02,217.1,7.3,1.2,201.4,39.4,0,1165.350252492553,32.125,32.125,2024-11-21 08:56:31
