Voltaje PV1 [V],Corriente PV1 [A],Potencia PV1 [W],Voltaje PV2 [V],Corriente PV2[A],Potencia PV2 [W],Potencia total [Wac],Frecuencia,Voltaje [Vac],Corriente [Aac],Energia hoy [Wh],Energia total [Wh],Temperatura inversor [°C],Energìa PV1 [Wh],Energìa PV2 [Wh],codigo_error,irradiancia_incidente,irradiancia_reflejada,albedo,temp_vertical,temp_inclinado,timestamp
,,0.0,0,0,0.0,0.0,0,0,0,0.0,1395.7,0,0.0,0.0,0,-38.845008416418494,-37.90271636133923,0,22.375,22.187,2025-10-30 05:50:25
0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,1395.7,0,0.0,0.0,0,-38.845008416418494,-37.90271636133923,0,22.437,22.187,2025-10-30 05:51:23
,,0.0,0,0,0.0,0.0,0,0,0,0.0,1395.7,0,0.0,0.0,0,0.0,-37.90271636133923,0,22.375,22.187,2025-10-30 05:51:55
,0,0.0,0,0,0.0,0.0,0,0,0,0.0,1395.7,0,0.0,0.0,0,-38.845008416418494,-37.90271636133923,0,22.437,22.25,2025-10-30 05:52:24
,0,0.0,0,0,0.0,0.0,0,0,0,0.0,1395.7,0,0.0,0.0,0,-38.845008416418494,-37.90271636133923,0,22.375,22.187,2025-10-30 05:52:39
,0,0.0,0,0,0.0,0.0,0,0,0,0.0,1395.7,0,0.0,0.0,0,0.0,-37.90271636133923,0,22.375,22.187,2025-10-30 05:52:54
,,0.0,0,0,0.0,0.0,0,0,0,0.0,1395.7,0,0.0,0.0,0,0.0,0.0,0,22.437,22.187,2025-10-30 05:53:10
0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,1395.7,0,0.0,0.0,0,-38.845008416418494,-37.90271636133923,0,22.375,22.187,2025-10-30 05:53:38
,,0.0,0,0,0.0,0.0,0,0,0,0.0,1395.7,0,0.0,0.0,0,-38.845008416418494,-37.90271636133923,0,22.437,22.187,2025-10-30 05:53:55
0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,1395.7,0,0.0,0.0,0,-38.845008416418494,-37.90271636133923,0,22.375,22.187,2025-10-30 05:54:08
,,0.0,0,0,0.0,0.0,0,0,0,0.0,1395.7,0,0.0,0.0,0,0.0,-37.90271636133923,0,22.375,22.187,2025-10-30 05:54:40
,,0.0,0,0,0.0,0.0,0,0,0,0.0,1395.7,0,0.0,0.0,0,0.0,-37.90271636133923,0,22.375,22.187,2025-10-30 05:54:55
,,0.0,0,0,0.0,0.0,0,0,0,0.0,1395.7,0,0.0,0.0,0,0.0,-37.90271636133923,0,22.375,22.187,2025-10-30 05:55:10
,0,0.0,0,0,0.0,0.0,0,0,0,0.0,1395.7,0,0.0,0.0,0,-38.845008416418494,-37.90271636133923,0,22.375,22.187,2025-10-30 05:55:39
,,0.0,0,0,0.0,0.0,0,0,0,0.0,1395.7,0,0.0,0.0,0,-38.845008416418494,-37.90271636133923,0,22.375,22.187,2025-10-30 05:55:55
0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,1395.7,0,0.0,0.0,0,-38.845008416418494,-37.90271636133923,0,22.375,22.187,2025-10-30 05:56:08
,0,0.0,0,0,0.0,0.0,0,0,0,0.0,1395.7,0,0.0,0.0,0,0.0,-37.90271636133923,0,22.375,22.187,2025-10-30 05:56:39
0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,1395.7,0,0.0,0.0,0,-38.845008416418494,-37.90271636133923,0,22.375,22.187,2025-10-30 05:56:53
0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,1395.7,0,0.0,0.0,0,-38.845008416418494,-37.90271636133923,0,22.437,22.187,2025-10-30 05:57:08
0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,1395.7,0,0.0,0.0,0,0.0,-37.90271636133923,0,22.375,22.187,2025-10-30 05:57:23
0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,1395.7,0,0.0,0.0,0,0.0,-37.90271636133923,0,22.375,22.187,2025-10-30 05:57:38
0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,1395.7,0,0.0,0.0,302,0.0,-37.90271636133923,0,22.375,22.187,2025-10-30 05:57:53
89.9,0,0.0,89.8,0,0.0,0.0,0,0,0,0.0,1395.7,22.5,0.0,0.0,302,0.0,-37.90271636133923,0,22.375,22.25,2025-10-30 05:58:08
0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,1395.7,0,0.0,0.0,0,0.0,-37.90271636133923,0,22.375,22.187,2025-10-30 05:58:23
146,0,0.0,145.7,0,0.0,0.0,0,0,0,0.0,1395.7,22.6,0.0,0.0,302,0.0,-37.90271636133923,0,22.375,22.187,2025-10-30 05:58:38
146.3,0,0.0,146.1,0,0.0,0.0,0,0,0,0.0,1395.7,22.6,0.0,0.0,302,0.0,-37.90271636133923,0,22.437,22.25,2025-10-30 05:58:53
147.1,0,0.0,146.9,0,0.0,0.0,0,0,0,0.0,1395.7,22.6,0.0,0.0,302,-38.845008416418494,-37.90271636133923,0,22.375,22.187,2025-10-30 05:59:08
147.6,0,0.0,147.4,0,0.0,0.0,0,0,0,0.0,1395.7,22.6,0.0,0.0,302,0.0,-37.90271636133923,0,22.437,22.25,2025-10-30 05:59:23
148.2,0,0.0,148.1,0,0.0,0.0,0,0,0,0.0,1395.7,22.6,0.0,0.0,302,0.0,-37.90271636133923,0,22.375,22.187,2025-10-30 05:59:38
148.7,0,0.0,148.6,0,0.0,0.0,0,0,0,0.0,1395.7,22.6,0.0,0.0,302,-38.845008416418494,-37.90271636133923,0,22.375,22.187,2025-10-30 05:59:53
149.3,0,0.0,149.3,0,0.0,0.0,0,0,0,0.0,1395.7,22.6,0.0,0.0,302,0.0,-37.90271636133923,0,22.375,22.187,2025-10-30 06:00:08
149.7,0,0.0,149.5,0,0.0,0.0,0,0,0,0.0,1395.7,22.6,0.0,0.0,302,0.0,-37.90271636133923,0,22.375,22.187,2025-10-30 06:00:23
150.3,0,0.0,150.1,0,0.0,0.0,0,0,0,0.0,1395.7,22.6,0.0,0.0,302,0.0,-37.90271636133923,0,22.375,22.187,2025-10-30 06:00:38
150.8,0,0.0,150.6,0,0.0,0.0,0,0,0,0.0,1395.7,22.6,0.0,0.0,302,0.0,-37.90271636133923,0,22.437,22.187,2025-10-30 06:00:53
151.3,0,0.0,151.1,0,0.0,0.0,0,0,0,0.0,1395.7,22.6,0.0,0.0,302,0.0,-37.90271636133923,0,22.375,22.187,2025-10-30 06:01:08
151.8,0,0.0,151.5,0,0.0,0.0,0,0,0,0.0,1395.7,22.7,0.0,0.0,302,0.0,0.0,0,22.375,22.25,2025-10-30 06:01:23
152.2,0,0.0,152,0,0.0,0.0,0,0,0,0.0,1395.7,22.7,0.0,0.0,302,0.0,0.0,0,22.375,22.25,2025-10-30 06:01:38
152.5,0,0.0,152.4,0,0.0,0.0,0,0,0,0.0,1395.7,22.7,0.0,0.0,302,0.0,-37.90271636133923,0,22.375,22.25,2025-10-30 06:01:53
153,0,0.0,152.9,0,0.0,0.0,0,0,0,0.0,1395.7,22.7,0.0,0.0,302,0.0,-37.90271636133923,0,22.375,22.25,2025-10-30 06:02:08
153.3,0,0.0,153.3,0,0.0,0.0,0,0,0,0.0,1395.7,22.7,0.0,0.0,302,0.0,-37.90271636133923,0,22.375,22.187,2025-10-30 06:02:23
153.8,0,0.0,153.8,0,0.0,0.0,0,0,0,0.0,1395.7,22.7,0.0,0.0,302,0.0,-37.90271636133923,0,22.375,22.187,2025-10-30 06:02:38
154.2,0,0.0,154.2,0,0.0,0.0,0,0,0,0.0,1395.7,22.7,0.0,0.0,302,0.0,0.0,0,22.375,22.25,2025-10-30 06:02:53
154.6,0,0.0,154.5,0,0.0,0.0,0,0,0,0.0,1395.7,22.7,0.0,0.0,302,0.0,-37.90271636133923,0,22.375,22.187,2025-10-30 06:03:08
154.9,0,0.0,154.8,0,0.0,0.0,0,0,0,0.0,1395.7,22.7,0.0,0.0,302,0.0,-37.90271636133923,0,22.375,22.25,2025-10-30 06:03:23
155.3,0,0.0,155.1,0,0.0,0.0,0,0,0,0.0,1395.7,22.7,0.0,0.0,302,0.0,-37.90271636133923,0,22.437,22.187,2025-10-30 06:03:38
155.6,0,0.0,155.4,0,0.0,0.0,0,0,0,0.0,1395.7,22.7,0.0,0.0,302,0.0,-37.90271636133923,0,22.437,22.187,2025-10-30 06:03:53
155.9,0,0.0,155.7,0,0.0,0.0,0,0,0,0.0,1395.7,22.7,0.0,0.0,302,0.0,-37.90271636133923,0,22.437,22.187,2025-10-30 06:04:08
156.2,0,0.0,155.9,0,0.0,0.0,0,0,0,0.0,1395.7,22.7,0.0,0.0,302,0.0,-37.90271636133923,0,22.437,22.187,2025-10-30 06:04:23
156.5,0,0.0,156.3,0,0.0,0.0,0,0,0,0.0,1395.7,22.7,0.0,0.0,302,0.0,-37.90271636133923,0,22.375,22.187,2025-10-30 06:04:38
156.7,0,0.0,156.6,0,0.0,0.0,0,0,0,0.0,1395.7,22.7,0.0,0.0,302,0.0,0.0,0,22.375,22.187,2025-10-30 06:04:53
157,0,0.0,156.7,0,0.0,0.0,0,0,0,0.0,1395.7,22.8,0.0,0.0,302,0.0,-37.90271636133923,0,22.437,22.187,2025-10-30 06:05:08
157.2,0,0.0,157,0,0.0,0.0,0,0,0,0.0,1395.7,22.8,0.0,0.0,302,0.0,-37.90271636133923,0,22.437,22.187,2025-10-30 06:05:23
157.4,0,0.0,157.2,0,0.0,0.0,0,0,0,0.0,1395.7,22.8,0.0,0.0,302,0.0,-37.90271636133923,0,22.437,22.187,2025-10-30 06:05:38
157.6,0,0.0,157.4,0,0.0,0.0,0,0,0,0.0,1395.7,22.8,0.0,0.0,302,0.0,-37.90271636133923,0,22.437,22.25,2025-10-30 06:05:53
157.8,0,0.0,157.7,0,0.0,0.0,0,0,0,0.0,1395.7,22.8,0.0,0.0,302,0.0,-37.90271636133923,0,22.437,22.25,2025-10-30 06:06:08
158.1,0,0.0,157.9,0,0.0,0.0,0,0,0,0.0,1395.7,22.8,0.0,0.0,302,0.0,0.0,0,22.437,22.25,2025-10-30 06:06:23
158.3,0,0.0,158.1,0,0.0,0.0,0,0,0,0.0,1395.7,22.8,0.0,0.0,302,0.0,-37.90271636133923,0,22.437,22.25,2025-10-30 06:06:38
158.4,0,0.0,158.2,0,0.0,0.0,0,0,0,0.0,1395.7,22.8,0.0,0.0,302,0.0,-37.90271636133923,0,22.437,22.25,2025-10-30 06:06:53
158.7,0,0.0,158.4,0,0.0,0.0,0,0,0,0.0,1395.7,22.8,0.0,0.0,302,0.0,0.0,0,22.437,22.25,2025-10-30 06:07:08
158.9,0,0.0,158.6,0,0.0,0.0,0,0,0,0.0,1395.7,22.8,0.0,0.0,302,0.0,-37.90271636133923,0,22.437,22.25,2025-10-30 06:07:23
159.1,0,0.0,158.8,0,0.0,0.0,0,0,0,0.0,1395.7,22.8,0.0,0.0,302,0.0,0.0,0,22.437,22.25,2025-10-30 06:07:38
159.2,0,0.0,158.9,0,0.0,0.0,0,0,0,0.0,1395.7,22.8,0.0,0.0,302,0.0,-37.90271636133923,0,22.437,22.25,2025-10-30 06:07:53
159.5,0,0.0,159,0,0.0,0.0,0,0,0,0.0,1395.7,22.8,0.0,0.0,302,0.0,-37.90271636133923,0,22.437,22.312,2025-10-30 06:08:08
159.6,0,0.0,159.1,0,0.0,0.0,0,0,0,0.0,1395.7,22.8,0.0,0.0,302,0.0,-37.90271636133923,0,22.437,22.312,2025-10-30 06:08:23
159.8,0,0.0,159.2,0,0.0,0.0,0,0,0,0.0,1395.7,22.8,0.0,0.0,302,0.0,-37.90271636133923,0,22.437,22.312,2025-10-30 06:08:38
159.8,0,0.0,159.4,0,0.0,0.0,0,0,0,0.0,1395.7,22.9,0.0,0.0,302,0.0,0.0,0,22.437,22.312,2025-10-30 06:08:53
160,0,0.0,159.5,0,0.0,0.0,0,0,0,0.0,1395.7,22.9,0.0,0.0,302,0.0,-37.90271636133923,0,22.437,22.312,2025-10-30 06:09:08
160.1,0,0.0,159.6,0,0.0,0.0,0,0,0,0.0,1395.7,22.9,0.0,0.0,302,0.0,0.0,0,22.437,22.312,2025-10-30 06:09:23
160.3,0,0.0,159.7,0,0.0,0.0,0,0,0,0.0,1395.7,22.9,0.0,0.0,302,0.0,-37.90271636133923,0,22.437,22.25,2025-10-30 06:09:38
160.4,0,0.0,159.8,0,0.0,0.0,0,0,0,0.0,1395.7,22.9,0.0,0.0,302,0.0,-37.90271636133923,0,22.437,22.25,2025-10-30 06:09:53
160.5,0,0.0,159.9,0,0.0,0.0,0,0,0,0.0,1395.7,22.9,0.0,0.0,302,0.0,0.0,0,22.5,22.25,2025-10-30 06:10:08
160.6,0,0.0,159.9,0,0.0,0.0,0,0,0,0.0,1395.7,22.9,0.0,0.0,302,0.0,0.0,0,22.5,22.312,2025-10-30 06:10:23
160.6,0,0.0,160,0,0.0,0.0,0,0,0,0.0,1395.7,23,0.0,0.0,302,0.0,-37.90271636133923,0,22.437,22.312,2025-10-30 06:10:38
160.6,0,0.0,160,0,0.0,0.0,0,0,0,0.0,1395.7,23,0.0,0.0,302,0.0,-37.90271636133923,0,22.5,22.312,2025-10-30 06:10:53
160.6,0,0.0,160.1,0,0.0,0.0,0,0,0,0.0,1395.7,23,0.0,0.0,302,0.0,0.0,0,22.5,22.312,2025-10-30 06:11:08
160.6,0,0.0,160.1,0,0.0,0.0,0,0,0,0.0,1395.7,23,0.0,0.0,302,0.0,0.0,0,22.5,22.312,2025-10-30 06:11:23
160.7,0,0.0,160.1,0,0.0,0.0,0,0,0,0.0,1395.7,23,0.0,0.0,302,0.0,-37.90271636133923,0,22.5,22.312,2025-10-30 06:11:38
160.8,0,0.0,160.1,0,0.0,0.0,0,0,0,0.0,1395.7,23,0.0,0.0,302,0.0,-37.90271636133923,0,22.5,22.312,2025-10-30 06:11:53
160.8,0,0.0,160.1,0,0.0,0.0,0,0,0,0.0,1395.7,23,0.0,0.0,302,0.0,-37.90271636133923,0,22.5,22.312,2025-10-30 06:12:08
160.8,0,0.0,160.1,0,0.0,0.0,0,0,0,0.0,1395.7,23,0.0,0.0,302,0.0,-37.90271636133923,0,22.5,22.375,2025-10-30 06:12:23
160.8,0,0.0,160.1,0,0.0,0.0,0,0,0,0.0,1395.7,23,0.0,0.0,302,0.0,-37.90271636133923,0,22.5,22.312,2025-10-30 06:12:38
160.8,0,0.0,160.1,0,0.0,0.0,0,0,0,0.0,1395.7,23,0.0,0.0,302,0.0,-37.90271636133923,0,22.5,22.312,2025-10-30 06:12:53
160.8,0,0.0,160.1,0,0.0,0.0,0,0,0,0.0,1395.7,23,0.0,0.0,302,0.0,-37.90271636133923,0,22.5,22.312,2025-10-30 06:13:08
160.8,0,0.0,160.1,0,0.0,0.0,0,0,0,0.0,1395.7,23,0.0,0.0,302,0.0,-37.90271636133923,0,22.5,22.312,2025-10-30 06:13:23
160.7,0,0.0,160,0,0.0,0.0,0,0,0,0.0,1395.7,23.1,0.0,0.0,302,0.0,-37.90271636133923,0,22.5,22.312,2025-10-30 06:13:38
160.6,0,0.0,160,0,0.0,0.0,0,0,0,0.0,1395.7,23,0.0,0.0,302,0.0,0.0,0,22.5,22.312,2025-10-30 06:13:53
160.6,0,0.0,159.9,0,0.0,0.0,0,0,0,0.0,1395.7,23.1,0.0,0.0,302,0.0,-37.90271636133923,0,22.5,22.312,2025-10-30 06:14:08
