vpv1,ipv1,pv1_watt,pac_total,freq,vac1,iac1,energia_hoy,energia_total,temp_inversor,Energìa PV1,Energìa PV2,codigo_error,irradiancia,temp1,temp2,timestamp
149.4,0,0.0,0.0,59.99,213.3,0,0.0,586.2,20.8,0.0,0.0,0,-2641.4605723164577,,,2025-05-05 05:19:05
153.5,0,0.0,0.0,59.97,213.2,0,0.0,586.2,20.8,0.0,0.0,0,6292.891363459796,,,2025-05-05 05:20:06
155.7,0,0.0,0.0,59.99,213.2,0,0.0,586.2,20.8,0.0,0.0,0,4972.161077301566,,,2025-05-05 05:21:06
157.5,0,0.0,0.0,59.98,213.4,0,0.0,586.2,20.9,0.0,0.0,0,5011.006085717986,,,2025-05-05 05:22:07
159.3,0,0.0,0.0,60.02,213.4,0,0.0,586.2,20.9,0.0,0.0,0,-3651.430791143338,,,2025-05-05 05:23:08
160.9,0,0.0,0.0,59.98,213.4,0,0.0,586.2,21,0.0,0.0,0,3457.205749061245,,,2025-05-05 05:24:08
162.4,0,0.0,0.0,60.03,213.2,0,0.0,586.2,21,0.0,0.0,0,1009.9702188268809,,,2025-05-05 05:25:09
163.9,0,0.0,0.0,60.03,213.3,0,0.0,586.2,21,0.0,0.0,0,-3457.205749061246,,,2025-05-05 05:26:10
165.2,0,0.0,0.0,60.03,213.4,0,0.0,586.2,21,0.0,0.0,0,5671.371228797099,,,2025-05-05 05:27:11
166.6,0,0.0,0.0,60.01,213.4,0,0.0,586.2,21,0.0,0.0,0,5749.061245629936,,,2025-05-05 05:28:11
131.6,0.1,23.7,46.0,60.02,213.7,0.4,0.0,586.2,21.1,0.0,0.0,0,854.5901851612068,,,2025-05-05 05:29:12
150.2,0.1,28.7,54.8,60.04,213.6,0.5,0.0,586.2,21.3,0.0,0.0,0,3457.205749061245,,,2025-05-05 05:30:13
131.4,0.1,29.0,57.3,60.02,213.5,0.5,0.0,586.2,21.5,0.0,0.0,0,2602.6155639000385,,,2025-05-05 05:31:13
143.5,0.1,32.3,63.0,59.99,213.2,0.5,0.0,586.2,21.6,0.0,0.0,0,-4156.41590055678,,,2025-05-05 05:32:14
146.4,0.1,36.2,69.7,60.01,213.2,0.4,0.0,586.2,21.8,0.0,0.0,0,-3690.275799559756,,,2025-05-05 05:33:15
149.5,0.1,38.8,75.7,59.97,213.6,0.5,0.0,586.2,21.9,0.0,0.0,0,-3379.515732228409,,,2025-05-05 05:34:15
