Voltaje PV1 [V];Voltaje PV2 [V];Corriente PV1 [A];Corriente PV2[A];Potencia PV1 [W];Potencia PV2 [W];Energia hoy [Wh];Voltaje [Vac];Corriente [Aac];temp_vertical;temp_inclinado;irradiancia_incidente;irradiancia_reflejada;albedo;timestamp;Corriente PV2 [A];Potencia total [VA];Energía PV1 [Wh];Energia PV2 [Wh]
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;85.0;85.0;-38.845008416418494;-37.90271636133923;0.0;26/12/2025 05:52;;;;
23.395121951219508;23.365853658536587;0.0;0.0;0.0;0.0;0.0;36.51951219512195;0.0;85.0;85.0;;;;26/12/2025 05:57;;;;
;;;;;;;;;;;-22.315217600921276;-36.289834814048156;0.0;26/12/2025 05:57;;;;
145.93070866141733;144.01811023622048;0.0;0.0;0.0;0.0;0.0;214.22677165354307;0.0;85.0;85.0;;;;26/12/2025 06:02;;;;
;;;;;;;;;;;-8.177896508719687;-36.47780221241662;0.0;26/12/2025 06:02;;;;
153.9412371134019;152.59793814433;0.0;0.0;0.0;0.0;0.0;214.0752577319588;0.0;92.08239175257731;85.0;;;;26/12/2025 06:07;;;;
;;;;;;;;;;;-1.3242616505597213;-35.74915293171761;0.0;26/12/2025 06:07;;;;
151.905;151.285;0.0;0.0;0.0;0.0;0.0;214.24;0.0;85.0;85.0;;;;26/12/2025 06:12;;;;
;;;;;;;;;;;-1.7656822007462951;-36.179865617641994;0.0;26/12/2025 06:13;;;;
154.79;153.395;0.0;0.0;0.0;0.0;0.0;214.16500000000002;0.0;85.0;85.0;;;;26/12/2025 06:17;;;;
;;;;;;;;;;;0.0;-32.734164130247514;0.0;26/12/2025 06:18;;;;
165.69523809523812;163.2619047619048;0.0;0.0;0.0;0.0;0.0;214.5380952380952;0.0;85.0;85.0;;;;26/12/2025 06:22;;;;
;;;;;;;;;;;0.0;-12.634238787113077;0.0;26/12/2025 06:24;;;;
153.07142857142858;145.50476190476192;0.19047619047619052;0.09523809523809526;45.21904761904762;26.342857142857145;0.0;214.57619047619045;0.46190476190476193;85.0;85.0;;;;26/12/2025 06:27;;;;
;;;;;;;;;;;8.828411003731476;-3.4457014873944756;0.0;26/12/2025 06:29;;;;
155.085;149.17000000000002;0.3550000000000001;0.1950000000000001;71.69499999999998;37.67500000000001;0.0;214.45499999999998;0.5999999999999999;85.0;85.0;;;;26/12/2025 06:32;;;;
